"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"SI","2008-09-28","91.3","-2.36","6.15","Mitch Talbot",434158,452676,"home_run","hit_into_play_score",,,,,"4","Curtis Granderson homers (22) on a fly ball to left field.   Brandon Inge scores.    Ramon Santiago scores.  ","R","L","R","DET","TB","X","null","fly_ball",2,1,2008,"-1.46","1.35","-0.49","2.54",276346,"null",421124,1,3,"Bot","44.18","46.18",,,"null",,"080928_134703",8.13,-132.657,-6.032,-16.95,28.698,-17.841,"3.29","1.59","null","null","null","null","null","null",236184,452676,"null","null","null","null","null","null","null","null","50.00","null","null","2.00","null",0,3,"null",19,"4","Sinker",0,0,0,0,0,0,0,0,"null","null"
"SI","2008-09-28","86.3","1.16","5.79","Adam Pettyjohn",136267,282562,"home_run","hit_into_play_score",,,,,"30","Troy Glaus homers (28) on a fly ball to right field.  ","R","R","L","STL","CIN","X","null","fly_ball",3,2,2008,"1.24","0.92","0.68","2.09","null","null","null",0,3,"Bot","208.84","59.24",,,"null",,"080928_140305",-4.308,-125.59,-4.199,15.437,30.08,-24.192,"3.97","1.76","null","null","null","null","null","null",236175,282562,"null","null","null","null","null","null","null","null","50.00","null","null","2.00","null",0,3,"null",25,"6","Sinker",5,1,5,1,1,5,5,1,"null","null"
"null","2008-09-28","null","null","null","Jeremy Guthrie",407489,425386,"home_run","hit_into_play_score",,,,,"null","Lyle Overbay homers (15) on a line drive to right field.  ","R","L","R","BAL","TOR","X","null","line_drive",0,1,2008,"null","null","null","null","null","null","null",0,4,"Top","235.94","85.34",,,"null",,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",236186,425386,"null","null","null","null","null","null","null","null","null","null","null","2.00","null",0,3,"null",24,"2","null",0,2,2,0,2,0,2,0,"null","null"
"FF","2008-09-28","89.5","1.22","6.48","Mike Hampton",110385,115399,"home_run","hit_into_play_score",,,,,"10","Brad Ausmus homers (4) on a fly ball to left field.   Jose Castillo scores.  ","R","R","L","HOU","ATL","X","null","fly_ball",0,0,2008,"0.63","1.20","-0.55","3.25","null",425489,"null",0,3,"Bot","53.21","67.27",,,"null",,"080928_134447",-6.381,-130.14,-4.353,9.351,27.596,-20.164,"3.23","1.50","null","null","null","null","null","null",236173,115399,"null","null","null","null","null","null","null","null","50.00","null","null","2.00","null",0,3,"null",19,"1","4-Seam Fastball",0,0,0,0,0,0,0,0,"null","null"
"FC","2008-09-28","82.5","-1.82","6.80","Kyle Kendrick",452215,452718,"home_run","hit_into_play_score",,,,,"7","Luke Montz homers (1) on a fly ball to left field.  ","R","R","R","PHI","WSH","X","null","fly_ball",0,1,2008,"0.30","0.55","-0.36","2.23","null","null","null",0,3,"Top","37.15","86.35",,,"null",,"080928_141110",2.505,-120.006,-4.813,4.518,22.76,-28.57,"3.88","1.72","null","null","null","null","null","null",236187,452718,"null","null","null","null","null","null","null","null","50.00","null","null","2.00","null",0,3,"null",16,"2","Cutter",1,0,0,1,0,1,0,1,"null","null"
"null","2008-09-28","null","null","null","Bryan Bullington",117244,425860,"home_run","hit_into_play_score",,,,,"null","Paul Konerko homers (22) on a fly ball to left field.  ","R","R","R","CWS","CLE","X","null","fly_ball",2,0,2008,"null","null","null","null","null","null","null",1,2,"Bot","9.04","74.30",,,"null",,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",236176,425860,"null","null","null","null","null","null","null","null","null","null","null","2.00","null",0,3,"null",12,"3","null",0,1,0,1,1,0,0,1,"null","null"
"null","2008-09-28","null","null","null","Mark Buehrle",425509,279824,"home_run","hit_into_play_score",,,,,"null","Jhonny Peralta homers (23) on a fly ball to left field.  ","R","R","L","CWS","CLE","X","null","fly_ball",1,0,2008,"null","null","null","null","null","null","null",0,2,"Top","58.23","50.20",,,"null",,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",236176,279824,"null","null","null","null","null","null","null","null","null","null","null","2.00","null",0,3,"null",7,"2","null",0,0,0,0,0,0,0,0,"null","null"
"null","2008-09-28","null","null","null","Jeremy Guthrie",150484,425386,"home_run","hit_into_play_score",,,,,"null","Vernon Wells homers (19) on a fly ball to left field.  ","R","R","R","BAL","TOR","X","null","fly_ball",0,0,2008,"null","null","null","null","null","null","null",0,2,"Top","13.05","53.21",,,"null",,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",236186,425386,"null","null","null","null","null","null","null","null","null","null","null","2.00","null",0,3,"null",7,"1","null",0,0,0,0,0,0,0,0,"null","null"
"SI","2008-09-28","86.3","1.48","5.80","Adam Pettyjohn",407886,282562,"home_run","hit_into_play_score",,,,,"39","Ryan Ludwick homers (38) on a fly ball to right field.    Felipe Lopez scores.  ","R","R","L","STL","CIN","X","null","fly_ball",0,1,2008,"0.77","0.70","0.48","1.78","null","null",150479,2,1,"Bot","195.78","52.21",,,"null",,"080928_132914",-4.549,-125.57,-4.525,10.234,28.458,-26.55,"3.85","1.75","null","null","null","null","null","null",236175,282562,"null","null","null","null","null","null","null","null","50.00","null","null","2.00","null",0,3,"null",8,"2","Sinker",0,1,0,1,1,0,0,1,"null","null"
"FF","2008-09-28","86.9","-1.25","5.37","R.A. Dickey",459941,285079,"home_run","hit_into_play_score",,,,,"44","Travis Buck homers (8) on a line drive to right field.  ","R","L","R","SEA","OAK","X","null","line_drive",1,2,2008,"-1.38","1.13","0.79","1.77","null","null","null",0,1,"Top","228.92","93.37",,,"null",,"080928_131156",7.979,-126.195,-4.61,-14.447,26.314,-21.609,"3.51","1.67","null","null","null","null","null","null",236182,285079,"null","null","null","null","null","null","null","null","50.00","null","null","2.00","null",0,3,"null",1,"5","4-Seam Fastball",0,0,0,0,0,0,0,0,"null","null"
"FF","2008-09-27","96.9","-1.80","5.30","Chris Perez",150020,453198,"home_run","hit_into_play_score",,,,,"4","Jerry Hairston homers (6) on a line drive to left field.   Corey Patterson scores.  ","R","R","R","STL","CIN","X","null","line_drive",0,0,2008,"-1.59","1.37","-0.29","2.50","null",279913,"null",2,9,"Top","39.16","54.22",,,"null",,"080927_204544",7.937,-140.869,-4.865,-20.792,36.814,-15.899,"3.38","1.50","null","null","null","null","null","null",236160,453198,"null","null","null","null","null","null","null","null","50.00","null","null","2.00","null",0,3,"null",74,"1","4-Seam Fastball",8,3,3,8,3,8,3,8,"null","null"
"SI","2008-09-27","90.5","-1.39","5.84","Salomon Torres",493120,123415,"home_run","hit_into_play_score",,,,,"5","Kosuke Fukudome homers (10) on a fly ball to right field.    Ryan Theriot scores.  ","R","L","R","MIL","CHC","X","null","fly_ball",0,1,2008,"-1.47","1.29","-0.05","2.25","null","null",444135,0,9,"Top","217.87","63.25",,,"null",,"080927_173602",6.715,-131.568,-5.607,-16.709,31.146,-18.983,"3.40","1.71","null","null","null","null","null","null",236159,123415,"null","null","null","null","null","null","null","null","50.00","null","null","2.00","null",0,3,"null",70,"2","Sinker",3,4,4,3,4,3,4,3,"null","null"
